state,year,population,index,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,assault_crime,burglary_crime,larceny_theft_crime,vehicle_theft_crime
Mississippi,2013,2992206,89851,8303,81548,217,726,2413,4649,24969,52192,4387
Mississippi,2012,2993443,95218,8331,86887,259,768,2405,4585,23898,58515,4474
Mississippi,2011,2989390,93975,8190,85785,253,851,2312,4467,25068,56446,4271
Mississippi,2010,2988726,91115,8383,82732,238,905,2397,4471,23354,55054,4324
Missouri,2016,5995715,228298,27440,200858,420,1445,6185,19390,44197,140526,16135
Missouri,2015,6008984,225973,26888,199085,366,1469,6275,18778,44875,138879,15331
Missouri,2014,6024522,227002,27189,199813,390,1527,5782,19490,42510,140971,16332
Missouri,2013,6044917,215871,26216,189655,369,1679,5486,18056,38797,134514,16344
Missouri,2012,6063827,203318,26882,176436,404,1728,5592,18483,35293,124769,16374
Missouri,2011,6076204,204080,30292,173788,503,1858,6383,20833,34029,122749,17010
Missouri,2010,6093000,202193,31644,170549,537,1884,6570,21983,31710,120544,18295
Montana,2016,990958,28142,2733,25409,25,332,154,2222,3692,20166,1551
Montana,2015,997677,26640,2755,23885,29,366,171,2189,3347,19089,1449
Montana,2014,1005494,28905,2803,26102,29,392,202,2180,3920,20484,1698
Montana,2013,1014864,29119,2924,26195,23,382,217,2217,4122,20192,1881
Montana,2012,1023252,28886,3361,25525,38,396,202,2563,3639,19826,2060
Montana,2011,1032073,30923,3647,27276,38,405,210,2827,3887,20966,2423
Montana,2010,1042520,31816,3840,27976,36,414,266,2960,3934,21299,2743
Nebraska,2016,1830141,53920,5093,48827,54,674,1020,3345,8318,36896,3613
Nebraska,2015,1842234,55566,4672,50894,68,699,993,2912,8725,38060,4109
Nebraska,2014,1855350,56005,4802,51203,52,710,1128,2912,8745,38301,4157
Nebraska,2013,1868969,54146,4949,49197,56,621,1035,3011,8945,35791,4461
Nebraska,2012,1882980,52727,5201,47526,53,645,1044,3226,7936,35063,4527
Nebraska,2011,1893765,47764,5167,42597,62,648,994,3226,6443,32148,4006
Nebraska,2010,1907116,48713,5550,43163,49,738,946,3561,6444,31994,4725
Nevada,2016,2704283,92933,17929,75004,158,965,5298,11508,22286,42533,10185
Nevada,2015,2720028,85527,15452,70075,139,913,4308,10092,20342,40156,9577
Nevada,2014,2754354,94273,16763,77510,124,931,4918,10790,22120,45372,10018
Nevada,2013,2791494,96065,16888,79177,163,1090,5183,10060,23047,46132,9998
Nevada,2012,2838281,92617,18043,74574,170,987,5954,10562,21924,42466,10184
Nevada,2011,2883758,97255,20118,77137,178,1232,6287,11965,22360,43426,11351
Nevada,2010,2940058,95983,19936,76047,224,1292,6340,11639,18850,44017,13180
New Hampshire,2016,1316807,31434,2204,29230,13,411,450,1330,5444,22789,997
New Hampshire,2015,1317807,35620,2864,32756,16,581,509,1758,6244,25398,1114
New Hampshire,2014,1321617,34915,2841,32074,15,486,471,1869,5988,25024,1062
New Hampshire,2013,1322616,32230,2952,29278,21,522,647,1506,4979,23355,944
New Hampshire,2012,1327996,28723,2625,26098,16,438,544,1469,4191,21051,856
New Hampshire,2011,1330111,26145,2692,23453,15,468,475,1558,3482,19076,895
New Hampshire,2010,1334795,22831,2637,20194,17,423,427,1611,2963,16360,871
New Jersey,2016,8799593,210097,27055,183042,371,981,11818,13885,38732,128754,15556
New Jersey,2015,8834773,216922,27203,189719,380,1006,12209,13608,43238,129066,17415
New Jersey,2014,8867749,207208,25727,181481,388,1035,11385,12919,42338,122662,16481
New Jersey,2013,8911502,193382,25748,167634,404,861,12084,12071,35883,118005,13746
New Jersey,2012,8938844,178264,23319,154945,352,953,10499,11188,31707,111534,11704
New Jersey,2011,8935421,168580,22879,145701,363,1019,9729,11414,27960,105963,11778
New Jersey,2010,8944469,160066,21914,138152,372,1089,8984,11105,25284,101540,11328
New Mexico,2016,2065913,82923,12147,70776,140,959,1616,9432,21023,44503,5250
New Mexico,2015,2078674,85453,11904,73549,158,856,1720,9170,21419,46730,5400
New Mexico,2014,2083540,86754,11660,75094,116,957,1847,8740,21384,48247,5463
New Mexico,2013,2086895,91948,12990,78958,123,1135,1832,9470,21828,51146,5984
New Mexico,2012,2085567,86342,12465,73877,101,1070,2086,8797,18505,49082,6290
New Mexico,2011,2080328,90884,13672,77212,117,1218,2485,9407,17084,51485,8643
New Mexico,2010,2081015,96550,14619,81931,139,1117,2737,10217,17281,52907,11743
New York,2016,19395206,456202,76492,379710,868,2797,28630,44197,65839,293232,20639
New York,2015,19501616,449300,77463,371837,769,2751,28405,45538,65227,287361,19249
New York,2014,19576125,454803,79535,375268,683,2837,28633,47382,64389,293562,17317
New York,2013,19695680,436166,77563,358603,644,2575,27241,46130,56444,286676,15483
New York,2012,19748858,415085,75972,339113,616,4316,24036,45295,50738,272624,15751
New York,2011,19747183,392351,75126,317225,613,4414,23879,44493,44117,257837,15271
New York,2010,19745289,379466,74285,305181,630,4569,22316,45079,39821,250968,14392
North Carolina,2016,9560234,363881,34679,329202,474,2002,9620,22554,102826,208057,18319
North Carolina,2015,9651103,371227,33421,337806,498,1959,9448,21516,105534,215453,16819
North Carolina,2014,9748364,363058,34464,328594,479,1984,9392,22609,99323,213151,16120
North Carolina,2013,9848917,339218,33587,305631,463,1790,9275,21325,90182,201043,14406
North Carolina,2012,9940387,318216,32718,285498,498,1738,8411,21377,79266,192609,13623
North Carolina,2011,10035186,310649,34734,275915,517,1886,8821,22805,74760,187732,13423
North Carolina,2010,10146788,315534,37769,277765,678,2086,9336,24906,72082,190377,15306
North Dakota,2016,674629,13558,1548,12010,10,245,90,1203,2000,9137,873
North Dakota,2015,684740,15033,1699,13334,24,266,91,1318,2458,9891,985
North Dakota,2014,701345,16020,1723,14297,25,279,127,1292,2429,10687,1181
North Dakota,2013,723857,17335,1979,15356,16,288,161,1447,2979,10942,1435
North Dakota,2012,740040,17858,2001,15857,23,275,175,1421,2751,11559,1547
North Dakota,2011,756835,19665,1949,17716,21,285,159,1378,3296,12686,1734
North Dakota,2010,757952,19305,1903,17402,15,256,181,1365,3243,12195,1964
Ohio,2016,11537968,413142,36306,376836,479,3730,16486,15611,107125,248581,21130
Ohio,2015,11541007,415790,35218,380572,500,3679,15991,15048,112901,246744,20927
Ohio,2014,11553031,405262,34827,370435,478,3813,15396,15140,105312,245372,19751
Ohio,2013,11572005,372136,33722,338414,478,3594,14483,14370,91090,227799,19525
Ohio,2012,11596998,355647,33130,322517,464,3825,12780,14658,79466,224942,18109
Ohio,2011,11605090,338116,34373,303743,522,3990,12617,15793,69994,216354,17395
Ohio,2010,11614373,334234,34877,299357,654,4141,12523,16111,66883,212807,19667
Oklahoma,2016,3760184,147564,18100,129464,195,1469,3345,13091,37848,81303,10313
Oklahoma,2015,3784163,144929,17311,127618,212,1410,3288,12401,36462,80064,11092
Oklahoma,2014,3815780,149071,18102,130969,220,1622,3248,13012,36094,83131,11744
Oklahoma,2013,3853118,143605,17187,126418,198,1715,3023,11652,33512,81624,11282
Oklahoma,2012,3879610,133497,16052,117445,180,1361,3073,10937,29963,76719,10763
Oklahoma,2011,3907414,130801,16746,114055,240,1418,3018,11535,28783,74678,10594
Oklahoma,2010,3923561,134685,17648,117037,245,1509,3162,12202,29103,75779,12155
Oregon,2016,3838332,126305,9648,116657,96,1239,2421,5892,20035,87494,9128
Oregon,2015,3868229,131512,9643,121869,84,1239,2237,6083,20704,92059,9106
Oregon,2014,3899801,136055,9638,126417,91,1159,2419,5969,22051,94114,10252
Oregon,2013,3928068,134619,9536,125083,82,1000,2394,5596,20808,94363,9912
Oregon,2012,3971202,133436,10294,123142,84,1165,2270,6320,18690,94177,10275
Oregon,2011,4024634,130432,10680,119752,110,1193,2163,6757,18541,90514,10697
Oregon,2010,4093465,132175,10830,121345,113,1261,2278,6718,16866,91286,13193
Pennsylvania,2016,12717722,322978,46612,276366,653,3472,16375,26112,55206,204440,16720
Pennsylvania,2015,12743948,329631,46189,283442,639,3339,16165,26046,57966,208604,16872
Pennsylvania,2014,12764475,321946,45384,276562,707,3371,15735,25571,57040,204409,15113
Pennsylvania,2013,12781296,306001,42825,263176,611,2728,14739,23680,52000,197410,13766
Pennsylvania,2012,12793767,287280,40298,246982,610,2785,13545,22304,45718,188211,13053
Pennsylvania,2011,12791904,272289,40348,231941,665,3105,12965,22419,39573,180236,12132
Pennsylvania,2010,12784227,263242,40447,222795,661,3233,12326,23027,35520,174228,13047
Rhode Island,2016,1052528,29668,2709,26959,29,298,782,1600,6124,18432,2403
Rhode Island,2015,1050646,30562,2586,27976,20,319,744,1503,6836,18765,2375
Rhode Island,2014,1050304,29696,2657,27039,36,292,715,1614,5929,18478,2632
Rhode Island,2013,1053354,28451,2710,25741,31,333,683,1547,5621,17881,2239
Rhode Island,2012,1054907,25302,2320,22982,26,264,530,1398,4830,16317,1835
Rhode Island,2011,1055607,22603,2565,20038,31,342,547,1520,3938,14714,1386
Rhode Island,2010,1056426,22582,2524,20058,29,328,540,1513,3788,14674,1596
South Carolina,2016,4637106,209021,27923,181098,265,1551,5017,21090,46261,121544,13293
South Carolina,2015,4673348,211137,27894,183243,320,1678,4631,21265,47351,122255,13637
South Carolina,2014,4723417,207523,26474,181049,332,1712,4511,19919,45222,122340,13487
South Carolina,2013,4771929,197524,24263,173261,305,1739,3965,17760,40930,119730,12601
South Carolina,2012,4829160,192319,24038,168281,322,1522,4018,17513,37163,118173,12945
South Carolina,2011,4894834,187278,24448,162830,407,1717,3950,17652,34942,114778,13110
South Carolina,2010,4961119,185824,24896,160928,366,1711,4035,18108,32976,114032,13920
