,provision,without,with,diff,p_value,n_without,n_with
222,gunshowh_recordsdealerh,5.245176350443948,3.669489200947289,1.5756871494966593,0.09818869432479337,31,11
157,dvro_traffickingprohibited,5.196430633665149,3.590536820714745,1.6058938129504043,0.0987661712475249,21,10
158,dvro_traffickingprohibitedh,5.2529465720963415,3.590536820714745,1.6624097513815967,0.09943957526098042,19,10
148,dvro_mcdvsurrender,4.993997113543733,3.360484426760533,1.6335126867831997,0.09968932993829234,23,10
119,danger_recordsallh,5.365505436475824,3.6299242395587865,1.7355811969170376,0.10171636768221572,20,11
230,invcommitment_recordsallh,5.365505436475824,3.6299242395587865,1.7355811969170376,0.10171636768221572,20,11
151,dvro_permitlaw,5.222646966165555,3.6232653747491446,1.5993815914164102,0.10212705254368701,22,10
155,dvro_stalking,5.121797744744315,3.581947843958162,1.539849900786153,0.1028790038874403,20,12
252,mcdv_recordsallh,5.3413996337193055,3.8498654473153384,1.491534186403967,0.10345978426848641,21,11
139,dvro_dvrosurrender,4.967086283916814,3.6169117340423638,1.35017454987445,0.10352934084539835,24,15
120,danger_recordsdealer,5.288250307790529,3.4952811158559838,1.792969191934545,0.10418113452901145,21,10
231,invcommitment_recordsdealer,5.288250307790529,3.4952811158559838,1.792969191934545,0.10418113452901145,21,10
42,backgroundpurge_stalking,5.394318791677818,3.7183097782991132,1.6760090133787044,0.10426543643863449,29,10
245,lockd_recordsdealerh,5.245176350443948,3.619933052007841,1.6252432984361072,0.10442867286318126,31,10
1,age18longgunsale_age21handgunsale,4.861538968908943,3.3940947617762744,1.4674442071326683,0.10575828864158246,28,10
53,cap14_dvrosurrenderdating,5.25132262695521,3.6595844047625916,1.591738222192618,0.10586059016641627,33,10
74,capuses_dvrosurrenderdating,5.25132262695521,3.6595844047625916,1.591738222192618,0.10586059016641627,33,10
26,backgroundpurge_cap14,5.546078320768276,3.9249723740255305,1.621105946742745,0.10590253279669101,29,10
27,backgroundpurge_capuses,5.546078320768276,3.9249723740255305,1.621105946742745,0.10590253279669101,29,10
169,dvrodating_mcdvdating,5.205671907870844,3.6400019452732857,1.5656699625975583,0.10603286525536393,28,10
225,invcommitment_invoutpatient,5.224047809981496,3.8315109576070343,1.3925368523744615,0.11013061582916761,22,16
114,danger_invoutpatient,5.224047809981496,3.8315109576070343,1.3925368523744615,0.11013061582916761,22,16
80,capuses_opencarrypermith,5.226902133200922,3.614905761813232,1.6119963713876904,0.11039834742500979,26,11
59,cap14_opencarrypermith,5.226902133200922,3.614905761813232,1.6119963713876904,0.11039834742500979,26,11
261,mcdvdating_opencarrypermith,5.407805826434328,3.731716641820751,1.676089184613577,0.11291816975141045,25,10
203,elementary_universalpermith,5.312486972247839,3.801178243765185,1.5113087284826543,0.11383906567510817,13,14
217,felony_universalpermith,5.314361738215462,3.565625057092029,1.7487366811234328,0.11414728170793254,10,15
162,dvrodating_dvrosurrender,4.982624376120683,3.517546438701943,1.4650779374187404,0.11427494634869603,30,11
106,danger_dealerh,5.354996299196622,3.691272282488095,1.6637240167085272,0.11535340299436074,20,12
131,dealerh_invcommitment,5.354996299196622,3.691272282488095,1.6637240167085272,0.11535340299436074,20,12
191,dvrosurrendernoconditions_stalking,5.123189046053536,3.526690856912267,1.5964981891412693,0.11578171564828982,31,10
172,dvrodating_universalpermith,5.4494709743673475,3.9111089531468197,1.5383620212205278,0.11607984342585398,26,10
241,invoutpatient_mcdv,5.373482341440264,3.954218464435236,1.4192638770050277,0.11629997057771922,20,13
75,capuses_dvrosurrendernoconditions,5.241361170726515,3.6595844047625916,1.5817767659639235,0.11630735552160465,31,10
54,cap14_dvrosurrendernoconditions,5.241361170726515,3.6595844047625916,1.5817767659639235,0.11630735552160465,31,10
186,dvrosurrenderdating_dvrosurrendernoconditions,4.954309240679787,3.517546438701943,1.4367628019778436,0.11639207326156624,37,11
270,opencarrypermith_traffickingprohibitedh,5.087906658937872,3.4036445540170646,1.684262104920807,0.11822398714190134,26,10
39,backgroundpurge_recordsallh,5.252657744576381,3.8069252794511694,1.4457324651252117,0.11940720493331906,33,11
182,dvrosurrender_recordsdealerh,5.795633264912903,4.233967403460854,1.5616658614520489,0.12151283401074142,26,10
140,dvro_dvrosurrenderdating,4.967086283916814,3.517546438701943,1.4495398452148707,0.12261432129269602,24,11
72,capuses_dvrodating,5.052706117377714,3.7705832946485143,1.2821228227292,0.1235368091055881,31,13
51,cap14_dvrodating,5.052706117377714,3.7705832946485143,1.2821228227292,0.1235368091055881,31,13
