,state,latitude,longitude,n_killed,location_description
4288,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
4328,Ohio,41.4082,-81.9423,0,Huntington Bank
4393,New York,43.0356,-78.7257,0,7-11 Convenience Store
4394,Michigan,42.7269,-84.4529,0,Super 8
4395,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
4424,Ohio,41.3855,-82.1179,0,Super 8
4441,Florida,27.9934,-80.631,0,Eastern Florida State College
4561,Colorado,39.762,-105.646,0,Exit 232 / Empire
4578,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
4584,Arkansas,34.5544,-92.5802,0,Bailey's Trailer Park
4585,Virginia,37.3613,-78.8329,1,Marathon Quik-E store
4586,Indiana,39.7063,-86.1538,1,Capital Place Apartments
4762,Georgia,33.6099,-84.4704,1,El Nopal Mexican Restaurant
4763,Indiana,37.9866,-87.4927,0,Eastland Mall
4808,California,37.8162,-122.279,2,Boys and Girls Clubs of Oakland
4855,Texas,32.7113,-96.8569,0,Kiest Park
4863,Indiana,39.779,-86.3002,0,Dominos Pizza
4873,Virginia,37.137,-77.2449,0,Disputana Ruritan Club
4960,Vermont,44.1748,-72.4912,0,Quarry Hill Quick Stop
4978,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
4980,Louisiana,30.6263,-90.5312,1,Palms Trailer Park
4986,Indiana,41.4712,-87.33,0,Catch 22
4990,Virginia,38.961999999999996,-77.1972,1,Scott’s Run Nature Preserve
4992,Ohio,39.1199,-84.5248,0,Central Park Café
5158,Ohio,39.0718,-84.315,0,Key Bank
5185,Ohio,40.0775,-83.1871,1,Hayden Heights Mobile Home Park
5222,New York,40.6545,-73.9877,1,Pink Houses
5223,Illinois,38.9169,-90.0919,1,Storey Manor Apartments
5225,New Jersey,40.8347,-74.7098,0,Oakwood Village Apartments
5227,Illinois,42.0038,-87.6727,1,McDonald's
5229,Louisiana,29.9822,-90.2567,0,New Orleans Int'l (MSY)
5335,California,34.2746,-119.229,0,Inn on the Beach
5339,Alaska,62.6895,-164.62,0,Yukon River
5340,Washington,47.608999999999995,-122.337,1,Glen Hotel Apartments
5342,Tennessee,35.8067,-83.9763,0,TYS Knoxville Airport
5389,Pennsylvania,40.3452,-76.4151,0,A2Z Corner Store
5487,Nebraska,41.239,-95.99799999999999,0,Tobacco & Phones 4 Less
5497,Oregon,44.0526,-121.29700000000001,1,Bend Senior High School
5500,Pennsylvania,40.2456,-76.8102,0,Rodeway Inn
5501,Oregon,42.3223,-122.868,0,Medford Pawn
5502,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
5588,Texas,29.8544,-95.4734,0,Stop and Gone
5590,Ohio,39.1596,-84.4612,0,Ameristop
5593,Michigan,42.6226,-83.131,1,Clark Oil Station
5596,Kentucky,38.0368,-84.5183,0,Jett's Pizza
5717,Alaska,64.8553,-147.714,0,Safeway
5718,Michigan,42.9129,-85.6561,0,McDonald's
5725,California,33.9454,-118.198,0,Rite Aid Pharmacy
5727,Texas,29.7604,-95.3698,0,Grand Palace Stadium 24 & RPX
6062,Indiana,39.7639,-86.31700000000001,0,Gordon Food Service Marketplace
6064,California,34.1365,-117.251,1,Domino's Pizza
6065,Illinois,40.1337,-88.2612,0,Popeye's Chicken
6074,Louisiana,29.9494,-89.9602,0,Dollar General
6075,Tennessee,35.6813,-88.8573,1,Union University
6077,Indiana,41.5781,-87.3371,0,Safe and Sound Senior Club
6095,Wisconsin,43.0264,-89.4129,0,Radio Shack
6102,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
6103,Missouri,39.0421,-94.3708,0,Bass Pro Shop
6105,Florida,26.0698,-80.1367,0,FLL Int'l Airport
6267,Texas,26.6389,-99.0931,0,Lucky Spins
6268,California,33.7899,-118.177,0,Motel 6
6270,Ohio,39.8195,-84.0245,0,Marathon
6272,Louisiana,30.2297,-92.3814,0,Iota Police Department
6276,Illinois,38.7487,-89.6774,0,Bradford National Bank
6277,Nevada,36.1591,-115.256,1,Red Rock Canyon National Conservation Area
6313,Virginia,38.467,-79.013,1,Dry River Store
6318,North Carolina,34.2788,-77.8138,0,Wilco Hess gas station
6435,New York,40.6727,-73.8903,0,La Flor del Canano #2 Pizzaria
6436,Illinois,38.6125,-90.0993,1,Nathan Health Care Center
6454,Oregon,45.2615,-122.68700000000001,1,Locust City Park
6455,New York,42.6376,-73.7596,1,Port Tavern
6458,Texas,29.8893,-95.4141,1,X-Press Stop
6483,Louisiana,30.2297,-92.3814,0,Kathy & Meadows Apartment Complex
6484,Michigan,42.8858,-85.5315,0,GRR Int'l Airport
6487,Indiana,37.9677,-87.3948,1,Alcoa Warrick Operations
6488,Utah,40.4867,-109.91799999999999,0,Uintah And Ouray Indian Reservation
6504,Arizona,33.0767,-111.734,1,Gila River Indian Community
6523,Michigan,42.742,-84.6028,0,Hungry Howie's Pizza
6575,Wisconsin,42.9884,-88.0075,0,Verizon store
6577,North Carolina,36.094,-79.9955,0,Wilco Gas Station
6578,Texas,32.3886,-94.90299999999999,2,Rabbit Creek Bridge
6579,Indiana,39.8307,-84.8412,0,Applebee's
6583,Michigan,42.236000000000004,-83.7579,0,Valley Ranch Apartments
6587,Iowa,42.7212,-94.2176,0,Lomitas Mexican Restaurant
6595,Arizona,32.6994,-114.645,0,Mittry Lake Wildlife Area
6596,Massachusetts,42.2517,-71.8088,1,Auburn Mall
6772,Ohio,40.1378,-80.9928,0,St. Clairsville Shooting Range
6777,Indiana,39.8619,-86.3955,0,Steak ‘n Shake
6779,Louisiana,30.2543,-90.9896,0,Red River Bank
6780,Iowa,41.521,-90.5758,0,US Bank
6782,Illinois,41.7337,-87.7248,0,EZ Pawn
6787,Alabama,32.1987,-85.0321,1,New Hope Baptist Church cemetery
6792,Virginia,37.2366,-77.4199,0,Virginia State University
6820,Ohio,41.3853,-82.1162,0,Shell
6822,Texas,29.6537,-95.4568,1,Camden Vanderbilt apartments
6830,Tennessee,36.2173,-84.0117,0,Norris Dam Watershed
6832,Illinois,40.6903,-89.6077,0,Valley Park Shopping Center
6833,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
6834,California,41.4838,-120.545,4,Cedarville Rancheria Tribal Office and Community Center
6840,Indiana,39.7638,-86.3495,0,Walmart
6913,North Carolina,35.7134,-82.0362,1,Marion Express Food Mart
6947,Michigan,42.6298,-82.86399999999999,0,TCF Bank
6979,Minnesota,44.6783,-93.6335,0,Valley Green Mobile Home Park
6980,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
6982,Texas,30.021,-95.432,0,Hooters
7053,Minnesota,45.0155,-92.9986,0,Polar Arena
7085,California,38.5927,-121.434,0,Cal Expo
